ano,topic_code,pais,codigo_pais
2024,,Bhutan,BT
2023,12.663,Bhutan,BT
2022,12.807,Bhutan,BT
2021,12.892,Bhutan,BT
2020,12.952,Bhutan,BT
2019,12.421,Bhutan,BT
2018,12.941,Bhutan,BT
2017,13.759,Bhutan,BT
2016,14.81,Bhutan,BT
2015,15.656,Bhutan,BT
2014,16.422,Bhutan,BT
2013,17.065,Bhutan,BT
2012,17.589,Bhutan,BT
2011,18.224,Bhutan,BT
2010,18.901,Bhutan,BT
2009,19.641,Bhutan,BT
2008,20.293,Bhutan,BT
2007,20.795,Bhutan,BT
2006,20.971,Bhutan,BT
2005,21.114,Bhutan,BT
2004,21.261,Bhutan,BT
2003,21.706,Bhutan,BT
2002,22.657,Bhutan,BT
2001,23.865,Bhutan,BT
2000,25.18,Bhutan,BT
