ano,topic_code,pais,codigo_pais
2024,,Armenia,AM
2023,8053.01066312345,Armenia,AM
2022,6571.97445545099,Armenia,AM
2021,4685.17997128509,Armenia,AM
2020,4268.68093304583,Armenia,AM
2019,4597.22887399548,Armenia,AM
2018,4196.00562301769,Armenia,AM
2017,3869.05373867752,Armenia,AM
2016,3524.42476874707,Armenia,AM
2015,3512.39350276709,Armenia,AM
2014,3852.11800610384,Armenia,AM
2013,3680.16692158886,Armenia,AM
2012,3511.56399687426,Armenia,AM
2011,3349.55309771906,Armenia,AM
2010,3041.34450723339,Armenia,AM
2009,2820.5926553347,Armenia,AM
2008,3777.66859313767,Armenia,AM
2007,2962.70234594569,Armenia,AM
2006,2041.65267068997,Armenia,AM
2005,1557.48458908655,Armenia,AM
2004,1130.08791444158,Armenia,AM
2003,882.030167695474,Armenia,AM
2002,742.651118319819,Armenia,AM
2001,659.588988535629,Armenia,AM
2000,593.450581742282,Armenia,AM
