ano,topic_code,pais,codigo_pais
2024,,Brunei Darussalam,BN
2023,32962.9065121916,Brunei Darussalam,BN
2022,36632.9280421411,Brunei Darussalam,BN
2021,31006.9636220576,Brunei Darussalam,BN
2020,26834.3592463839,Brunei Darussalam,BN
2019,30426.5730284202,Brunei Darussalam,BN
2018,30988.1190497851,Brunei Darussalam,BN
2017,28024.3824618568,Brunei Darussalam,BN
2016,26663.2973199878,Brunei Darussalam,BN
2015,30625.128732694,Brunei Darussalam,BN
2014,41026.508391054,Brunei Darussalam,BN
2013,44003.0644293856,Brunei Darussalam,BN
2012,46968.5971144517,Brunei Darussalam,BN
2011,46382.8274456238,Brunei Darussalam,BN
2010,34937.5555174068,Brunei Darussalam,BN
2009,30946.4674272953,Brunei Darussalam,BN
2008,42156.5685216979,Brunei Darussalam,BN
2007,36217.3291010089,Brunei Darussalam,BN
2006,34674.7995990594,Brunei Darussalam,BN
2005,29386.2703597208,Brunei Darussalam,BN
2004,24423.0947731021,Brunei Darussalam,BN
2003,20677.9001224663,Brunei Darussalam,BN
2002,18621.2922677806,Brunei Darussalam,BN
2001,18287.8271687345,Brunei Darussalam,BN
2000,20130.2571493081,Brunei Darussalam,BN
