ano,topic_code,pais,codigo_pais
2024,,Comoros,KM
2023,1590.31237688317,Comoros,KM
2022,1489.49566257969,Comoros,KM
2021,1584.12450153608,Comoros,KM
2020,1527.16991011916,Comoros,KM
2019,1519.26386436068,Comoros,KM
2018,1540.71132257526,Comoros,KM
2017,1423.9248027797,Comoros,KM
2016,1365.48403444497,Comoros,KM
2015,1329.37048235986,Comoros,KM
2014,1615.71723662012,Comoros,KM
2013,1603.32797107303,Comoros,KM
2012,1490.31511351281,Comoros,KM
2011,1531.43789372951,Comoros,KM
2010,1386.5742428453,Comoros,KM
2009,1410.30516959473,Comoros,KM
2008,1455.02768595586,Comoros,KM
2007,1289.73631056361,Comoros,KM
2006,1154.90422349749,Comoros,KM
2005,1103.20658498402,Comoros,KM
2004,1091.27216412426,Comoros,KM
2003,959.787894504834,Comoros,KM
2002,762.116930318449,Comoros,KM
2001,691.699908770798,Comoros,KM
2000,655.007796688241,Comoros,KM
