ano,topic_code,pais,codigo_pais
2024,,"Congo, Dem. Rep.",CD
2023,627.502181690836,"Congo, Dem. Rep.",CD
2022,642.612265820033,"Congo, Dem. Rep.",CD
2021,558.034077296358,"Congo, Dem. Rep.",CD
2020,507.521230077872,"Congo, Dem. Rep.",CD
2019,557.044161335917,"Congo, Dem. Rep.",CD
2018,528.256019777898,"Congo, Dem. Rep.",CD
2017,436.584534687385,"Congo, Dem. Rep.",CD
2016,442.310472110228,"Congo, Dem. Rep.",CD
2015,467.9145805459,"Congo, Dem. Rep.",CD
2014,458.004541775676,"Congo, Dem. Rep.",CD
2013,431.191528160935,"Congo, Dem. Rep.",CD
2012,400.059901824342,"Congo, Dem. Rep.",CD
2011,364.714191777632,"Congo, Dem. Rep.",CD
2010,314.53858629844,"Congo, Dem. Rep.",CD
2009,280.798051526498,"Congo, Dem. Rep.",CD
2008,307.319638606745,"Congo, Dem. Rep.",CD
2007,267.88850879878,"Congo, Dem. Rep.",CD
2006,238.417639415512,"Congo, Dem. Rep.",CD
2005,203.561668860749,"Congo, Dem. Rep.",CD
2004,180.664764963633,"Congo, Dem. Rep.",CD
2003,161.491553524396,"Congo, Dem. Rep.",CD
2002,162.38052907429,"Congo, Dem. Rep.",CD
2001,142.678142604412,"Congo, Dem. Rep.",CD
2000,377.925421481395,"Congo, Dem. Rep.",CD
