ano,topic_code,pais,codigo_pais
2024,,Curacao,CW
2023,22192.4453028535,Curacao,CW
2022,20501.7522782219,Curacao,CW
2021,17980.0888397547,Curacao,CW
2020,16356.0933594414,Curacao,CW
2019,19220.6866958303,Curacao,CW
2018,19119.1243941688,Curacao,CW
2017,18938.2440469703,Curacao,CW
2016,18944.0961493998,Curacao,CW
2015,19361.8130008678,Curacao,CW
2014,19623.029993395,Curacao,CW
2013,19721.2921646576,Curacao,CW
2012,19809.8223198624,Curacao,CW
2011,19426.326382752,Curacao,CW
2010,19847.2310127979,Curacao,CW
2009,19540.2476579348,Curacao,CW
2008,19423.3352430175,Curacao,CW
2007,18005.7165850772,Curacao,CW
2006,17400.1637780186,Curacao,CW
2005,17032.3356620744,Curacao,CW
2004,16671.3403391655,Curacao,CW
2003,16695.7351137757,Curacao,CW
2002,16723.6925253468,Curacao,CW
2001,16609.8454536485,Curacao,CW
2000,15841.2612359949,Curacao,CW
