ano,topic_code,pais,codigo_pais
2024,,Australia,AU
2023,26658948.0,Australia,AU
2022,26014399.0,Australia,AU
2021,25685412.0,Australia,AU
2020,25649248.0,Australia,AU
2019,25334826.0,Australia,AU
2018,24963258.0,Australia,AU
2017,24592588.0,Australia,AU
2016,24190907.0,Australia,AU
2015,23815995.0,Australia,AU
2014,23475686.0,Australia,AU
2013,23128129.0,Australia,AU
2012,22733465.0,Australia,AU
2011,22340024.0,Australia,AU
2010,22031750.0,Australia,AU
2009,21691653.0,Australia,AU
2008,21249199.0,Australia,AU
2007,20827622.0,Australia,AU
2006,20450966.0,Australia,AU
2005,20176844.0,Australia,AU
2004,19932722.0,Australia,AU
2003,19720737.0,Australia,AU
2002,19495210.0,Australia,AU
2001,19274701.0,Australia,AU
2000,19028802.0,Australia,AU
