ano,topic_code,pais,codigo_pais
2024,,Bhutan,BT
2023,786385.0,Bhutan,BT
2022,780914.0,Bhutan,BT
2021,775442.0,Bhutan,BT
2020,770006.0,Bhutan,BT
2019,764824.0,Bhutan,BT
2018,759759.0,Bhutan,BT
2017,754335.0,Bhutan,BT
2016,747866.0,Bhutan,BT
2015,740618.0,Bhutan,BT
2014,733139.0,Bhutan,BT
2013,725273.0,Bhutan,BT
2012,717279.0,Bhutan,BT
2011,709377.0,Bhutan,BT
2010,701632.0,Bhutan,BT
2009,693988.0,Bhutan,BT
2008,686351.0,Bhutan,BT
2007,678641.0,Bhutan,BT
2006,670799.0,Bhutan,BT
2005,661865.0,Bhutan,BT
2004,650544.0,Bhutan,BT
2003,637663.0,Bhutan,BT
2002,624409.0,Bhutan,BT
2001,610794.0,Bhutan,BT
2000,596863.0,Bhutan,BT
