ano,topic_code,pais,codigo_pais
2024,,Comoros,KM
2023,850387.0,Comoros,KM
2022,834188.0,Comoros,KM
2021,818174.0,Comoros,KM
2020,802163.0,Comoros,KM
2019,786578.0,Comoros,KM
2018,771590.0,Comoros,KM
2017,756669.0,Comoros,KM
2016,741741.0,Comoros,KM
2015,726682.0,Comoros,KM
2014,711503.0,Comoros,KM
2013,696192.0,Comoros,KM
2012,681630.0,Comoros,KM
2011,668056.0,Comoros,KM
2010,654836.0,Comoros,KM
2009,641947.0,Comoros,KM
2008,629307.0,Comoros,KM
2007,616927.0,Comoros,KM
2006,604753.0,Comoros,KM
2005,592677.0,Comoros,KM
2004,580704.0,Comoros,KM
2003,569798.0,Comoros,KM
2002,558923.0,Comoros,KM
2001,547220.0,Comoros,KM
2000,536080.0,Comoros,KM
