ano,topic_code,pais,codigo_pais
2024,,Switzerland,CH
2023,8888093.0,Switzerland,CH
2022,8777088.0,Switzerland,CH
2021,8704546.0,Switzerland,CH
2020,8638167.0,Switzerland,CH
2019,8575280.0,Switzerland,CH
2018,8514329.0,Switzerland,CH
2017,8451840.0,Switzerland,CH
2016,8373338.0,Switzerland,CH
2015,8282396.0,Switzerland,CH
2014,8188649.0,Switzerland,CH
2013,8089346.0,Switzerland,CH
2012,7996861.0,Switzerland,CH
2011,7912398.0,Switzerland,CH
2010,7824909.0,Switzerland,CH
2009,7743831.0,Switzerland,CH
2008,7647675.0,Switzerland,CH
2007,7551117.0,Switzerland,CH
2006,7483934.0,Switzerland,CH
2005,7437115.0,Switzerland,CH
2004,7389625.0,Switzerland,CH
2003,7339001.0,Switzerland,CH
2002,7284753.0,Switzerland,CH
2001,7229854.0,Switzerland,CH
2000,7184250.0,Switzerland,CH
