ano,valor,pais,codigo_pais,indicador,categoria
2024,,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2023,11.848,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2022,12.001,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2021,12.135,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2020,12.18,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2019,11.5,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2018,10.822,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2017,11.796,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2016,11.657,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2015,12.587,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2014,12.31,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2013,12.436,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2012,13.456,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2011,14.259,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2010,14.66,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2009,16.578,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2008,16.994,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2007,15.59,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2006,15.461,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2005,15.613,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2004,15.947,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2003,16.443,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2002,17.106,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2001,17.973,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
2000,19.72,Antigua and Barbuda,AG,SP.DYN.CBRT.IN,Health 
