ano,valor,pais,codigo_pais,indicador,categoria
2024,,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2023,12.33,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2022,12.438,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2021,12.569,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2020,13.142,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2019,14.288,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2018,15.451,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2017,16.8,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2016,17.32,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2015,17.459,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2014,18.079,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2013,18.401,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2012,19.108,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2011,20.578,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2010,20.42,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2009,19.504,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2008,19.857,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2007,20.583,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2006,21.612,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2005,22.797,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2004,23.943,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2003,24.746,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2002,25.701,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2001,26.762,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
2000,27.862,Cabo Verde,CV,SP.DYN.CBRT.IN,Health 
