ano,valor,pais,codigo_pais,indicador,categoria
2024,,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2023,31.99,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2022,32.5,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2021,33.081,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2020,33.651,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2019,34.306,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2018,35.081,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2017,36.58,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2016,37.742,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2015,38.768,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2014,39.841,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2013,40.451,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2012,40.688,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2011,40.846,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2010,40.936,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2009,40.745,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2008,40.474,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2007,40.961,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2006,41.441,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2005,41.927,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2004,42.276,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2003,42.802,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2002,43.4,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2001,43.902,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
2000,44.278,Cote d'Ivoire,CI,SP.DYN.CBRT.IN,Health 
