ano,valor,pais,codigo_pais,indicador,categoria
2024,,Finland,FI,SP.DYN.CBRT.IN,Health 
2023,7.8,Finland,FI,SP.DYN.CBRT.IN,Health 
2022,8.1,Finland,FI,SP.DYN.CBRT.IN,Health 
2021,9.0,Finland,FI,SP.DYN.CBRT.IN,Health 
2020,8.4,Finland,FI,SP.DYN.CBRT.IN,Health 
2019,8.3,Finland,FI,SP.DYN.CBRT.IN,Health 
2018,8.6,Finland,FI,SP.DYN.CBRT.IN,Health 
2017,9.1,Finland,FI,SP.DYN.CBRT.IN,Health 
2016,9.6,Finland,FI,SP.DYN.CBRT.IN,Health 
2015,10.1,Finland,FI,SP.DYN.CBRT.IN,Health 
2014,10.5,Finland,FI,SP.DYN.CBRT.IN,Health 
2013,10.7,Finland,FI,SP.DYN.CBRT.IN,Health 
2012,11.0,Finland,FI,SP.DYN.CBRT.IN,Health 
2011,11.1,Finland,FI,SP.DYN.CBRT.IN,Health 
2010,11.4,Finland,FI,SP.DYN.CBRT.IN,Health 
2009,11.3,Finland,FI,SP.DYN.CBRT.IN,Health 
2008,11.2,Finland,FI,SP.DYN.CBRT.IN,Health 
2007,11.1,Finland,FI,SP.DYN.CBRT.IN,Health 
2006,11.2,Finland,FI,SP.DYN.CBRT.IN,Health 
2005,11.0,Finland,FI,SP.DYN.CBRT.IN,Health 
2004,11.0,Finland,FI,SP.DYN.CBRT.IN,Health 
2003,10.9,Finland,FI,SP.DYN.CBRT.IN,Health 
2002,10.7,Finland,FI,SP.DYN.CBRT.IN,Health 
2001,10.8,Finland,FI,SP.DYN.CBRT.IN,Health 
2000,11.0,Finland,FI,SP.DYN.CBRT.IN,Health 
