ano,valor,pais,codigo_pais,indicador,categoria
2024,,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2023,25.813,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2022,26.403,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2021,26.909,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2020,27.355,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2019,27.826,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2018,28.112,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2017,28.275,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2016,28.508,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2015,28.858,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2014,29.313,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2013,30.046,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2012,30.798,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2011,31.427,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2010,31.247,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2009,31.084,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2008,30.831,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2007,30.347,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2006,29.738,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2005,29.181,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2004,28.894,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2003,28.58,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2002,29.414,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2001,30.524,Kiribati,KI,SP.DYN.CBRT.IN,Health 
2000,31.498,Kiribati,KI,SP.DYN.CBRT.IN,Health 
