ano,valor,pais,codigo_pais,indicador,categoria
2024,,Panama,PA,SP.DYN.CBRT.IN,Health 
2023,16.029,Panama,PA,SP.DYN.CBRT.IN,Health 
2022,16.239,Panama,PA,SP.DYN.CBRT.IN,Health 
2021,16.401,Panama,PA,SP.DYN.CBRT.IN,Health 
2020,16.718,Panama,PA,SP.DYN.CBRT.IN,Health 
2019,17.57,Panama,PA,SP.DYN.CBRT.IN,Health 
2018,18.52,Panama,PA,SP.DYN.CBRT.IN,Health 
2017,19.081,Panama,PA,SP.DYN.CBRT.IN,Health 
2016,19.495,Panama,PA,SP.DYN.CBRT.IN,Health 
2015,19.839,Panama,PA,SP.DYN.CBRT.IN,Health 
2014,20.147,Panama,PA,SP.DYN.CBRT.IN,Health 
2013,20.42,Panama,PA,SP.DYN.CBRT.IN,Health 
2012,20.732,Panama,PA,SP.DYN.CBRT.IN,Health 
2011,20.98,Panama,PA,SP.DYN.CBRT.IN,Health 
2010,20.984,Panama,PA,SP.DYN.CBRT.IN,Health 
2009,21.177,Panama,PA,SP.DYN.CBRT.IN,Health 
2008,21.426,Panama,PA,SP.DYN.CBRT.IN,Health 
2007,21.591,Panama,PA,SP.DYN.CBRT.IN,Health 
2006,21.784,Panama,PA,SP.DYN.CBRT.IN,Health 
2005,22.1,Panama,PA,SP.DYN.CBRT.IN,Health 
2004,22.548,Panama,PA,SP.DYN.CBRT.IN,Health 
2003,22.65,Panama,PA,SP.DYN.CBRT.IN,Health 
2002,22.917,Panama,PA,SP.DYN.CBRT.IN,Health 
2001,23.22,Panama,PA,SP.DYN.CBRT.IN,Health 
2000,23.51,Panama,PA,SP.DYN.CBRT.IN,Health 
