ano,valor,pais,codigo_pais,indicador,categoria
2024,,Peru,PE,SP.DYN.CBRT.IN,Health 
2023,15.944,Peru,PE,SP.DYN.CBRT.IN,Health 
2022,16.183,Peru,PE,SP.DYN.CBRT.IN,Health 
2021,16.398,Peru,PE,SP.DYN.CBRT.IN,Health 
2020,16.61,Peru,PE,SP.DYN.CBRT.IN,Health 
2019,16.853,Peru,PE,SP.DYN.CBRT.IN,Health 
2018,16.93,Peru,PE,SP.DYN.CBRT.IN,Health 
2017,17.254,Peru,PE,SP.DYN.CBRT.IN,Health 
2016,17.565,Peru,PE,SP.DYN.CBRT.IN,Health 
2015,17.948,Peru,PE,SP.DYN.CBRT.IN,Health 
2014,18.366,Peru,PE,SP.DYN.CBRT.IN,Health 
2013,18.82,Peru,PE,SP.DYN.CBRT.IN,Health 
2012,19.21,Peru,PE,SP.DYN.CBRT.IN,Health 
2011,19.75,Peru,PE,SP.DYN.CBRT.IN,Health 
2010,19.884,Peru,PE,SP.DYN.CBRT.IN,Health 
2009,20.444,Peru,PE,SP.DYN.CBRT.IN,Health 
2008,20.908,Peru,PE,SP.DYN.CBRT.IN,Health 
2007,21.446,Peru,PE,SP.DYN.CBRT.IN,Health 
2006,21.821,Peru,PE,SP.DYN.CBRT.IN,Health 
2005,22.089,Peru,PE,SP.DYN.CBRT.IN,Health 
2004,22.392,Peru,PE,SP.DYN.CBRT.IN,Health 
2003,22.33,Peru,PE,SP.DYN.CBRT.IN,Health 
2002,22.599,Peru,PE,SP.DYN.CBRT.IN,Health 
2001,23.028,Peru,PE,SP.DYN.CBRT.IN,Health 
2000,23.836,Peru,PE,SP.DYN.CBRT.IN,Health 
