ano,valor,pais,codigo_pais,indicador,categoria
2024,,Philippines,PH,SP.DYN.CBRT.IN,Health 
2023,16.019,Philippines,PH,SP.DYN.CBRT.IN,Health 
2022,16.057,Philippines,PH,SP.DYN.CBRT.IN,Health 
2021,16.108,Philippines,PH,SP.DYN.CBRT.IN,Health 
2020,17.017,Philippines,PH,SP.DYN.CBRT.IN,Health 
2019,18.104,Philippines,PH,SP.DYN.CBRT.IN,Health 
2018,19.418,Philippines,PH,SP.DYN.CBRT.IN,Health 
2017,20.571,Philippines,PH,SP.DYN.CBRT.IN,Health 
2016,21.76,Philippines,PH,SP.DYN.CBRT.IN,Health 
2015,22.933,Philippines,PH,SP.DYN.CBRT.IN,Health 
2014,23.404,Philippines,PH,SP.DYN.CBRT.IN,Health 
2013,24.56,Philippines,PH,SP.DYN.CBRT.IN,Health 
2012,25.22,Philippines,PH,SP.DYN.CBRT.IN,Health 
2011,26.007,Philippines,PH,SP.DYN.CBRT.IN,Health 
2010,26.564,Philippines,PH,SP.DYN.CBRT.IN,Health 
2009,26.987,Philippines,PH,SP.DYN.CBRT.IN,Health 
2008,27.12,Philippines,PH,SP.DYN.CBRT.IN,Health 
2007,27.0,Philippines,PH,SP.DYN.CBRT.IN,Health 
2006,27.419,Philippines,PH,SP.DYN.CBRT.IN,Health 
2005,27.154,Philippines,PH,SP.DYN.CBRT.IN,Health 
2004,27.629,Philippines,PH,SP.DYN.CBRT.IN,Health 
2003,28.101,Philippines,PH,SP.DYN.CBRT.IN,Health 
2002,28.534,Philippines,PH,SP.DYN.CBRT.IN,Health 
2001,29.145,Philippines,PH,SP.DYN.CBRT.IN,Health 
2000,29.285,Philippines,PH,SP.DYN.CBRT.IN,Health 
