ano,valor,pais,codigo_pais,indicador,categoria
2024,,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2023,8.6,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2022,8.9,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2021,9.6,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2020,9.8,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2019,10.1,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2018,10.9,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2017,11.5,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2016,12.9,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2015,13.3,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2014,13.3,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2013,13.2,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2012,13.3,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2011,12.6,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2010,12.5,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2009,12.3,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2008,12.0,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2007,11.3,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2006,10.3,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2005,10.2,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2004,10.4,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2003,10.2,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2002,9.7,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2001,9.0,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
2000,8.7,Russian Federation,RU,SP.DYN.CBRT.IN,Health 
