ano,valor,pais,codigo_pais,indicador,categoria
2024,,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2023,10.738,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2022,10.981,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2021,11.198,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2020,11.671,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2019,12.066,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2018,12.511,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2017,12.692,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2016,12.785,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2015,12.665,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2014,12.905,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2013,13.001,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2012,13.443,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2011,14.192,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2010,14.898,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2009,15.671,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2008,16.434,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2007,17.155,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2006,17.721,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2005,18.287,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2004,18.882,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2003,19.616,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2002,20.631,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2001,21.896,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
2000,22.632,Turks and Caicos Islands,TC,SP.DYN.CBRT.IN,Health 
