ano,valor,pais,codigo_pais,indicador,categoria
2024,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2023,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2022,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2021,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2020,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2019,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2018,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2017,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2016,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2015,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2014,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2013,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2012,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2011,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2010,12.8199996948242,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2009,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2008,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2007,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2006,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2005,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2004,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2003,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2002,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2001,,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2000,16.3999996185303,Aruba,AW,SE.TER.CUAT.BA.ZS,"Education , Gender"
