ano,valor,pais,codigo_pais,indicador,categoria
2024,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2023,9.64603805541992,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2022,9.51717185974121,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2021,8.84055423736572,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2020,8.33574199676514,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2019,8.1895227432251,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2018,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2017,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2016,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2015,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2014,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2013,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2012,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2011,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2010,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2009,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2008,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2007,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2006,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2005,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2004,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2003,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2002,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2001,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
2000,,Botswana,BW,SE.TER.CUAT.BA.ZS,"Education , Gender"
