ano,valor,pais,codigo_pais,indicador,categoria
2024,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2023,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2022,20.9734058380127,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2021,22.8479957580566,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2020,21.3851680755615,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2019,20.9099998474121,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2018,21.0019187927246,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2017,20.7299995422363,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2016,20.0799999237061,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2015,19.3400001525879,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2014,18.8299999237061,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2013,4.42498064041138,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2012,4.1296648979187,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2011,3.59428691864014,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2010,2.86714029312134,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2009,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2008,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2007,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2006,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2005,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2004,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2003,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2002,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2001,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
2000,,Czechia,CZ,SE.TER.CUAT.BA.ZS,"Education , Gender"
