ano,valor,pais,codigo_pais,indicador,categoria
2024,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2023,7.26999998092651,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2022,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2021,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2020,8.43000030517578,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2019,8.34000015258789,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2018,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2017,6.67000007629395,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2016,7.11999988555908,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2015,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2014,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2013,6.05999994277954,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2012,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2011,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2010,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2009,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2008,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2007,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2006,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2005,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2004,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2003,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2002,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2001,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2000,,El Salvador,SV,SE.TER.CUAT.BA.ZS,"Education , Gender"
