ano,valor,pais,codigo_pais,indicador,categoria
2024,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2023,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2022,31.9501533508301,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2021,31.4416408538818,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2020,32.7584533691406,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2019,30.9400005340576,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2018,30.0300006866455,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2017,29.2247142791748,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2016,29.1100006103516,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2015,27.7000007629395,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2014,26.6299991607666,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2013,27.6900005340576,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2012,0.405498027801514,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2011,0.344332575798035,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2010,0.276932179927826,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2009,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2008,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2007,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2006,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2005,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2004,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2003,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2002,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2001,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
2000,,Latvia,LV,SE.TER.CUAT.BA.ZS,"Education , Gender"
