ano,valor,pais,codigo_pais,indicador,categoria
2024,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2023,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2022,31.1733207702637,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2021,30.4537925720215,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2020,32.1195335388184,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2019,29.2900009155273,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2018,30.0355529785156,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2017,28.0699996948242,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2016,27.3299999237061,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2015,26.6499996185303,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2014,25.7299995422363,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2013,0.651003360748291,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2012,0.607396066188812,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2011,0.680939614772797,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2010,0.693232774734497,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2009,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2008,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2007,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2006,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2005,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2004,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2003,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2002,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2001,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
2000,,Norway,NO,SE.TER.CUAT.BA.ZS,"Education , Gender"
