ano,valor,pais,codigo_pais,indicador,categoria
2024,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2023,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2022,12.7399997711182,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2021,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2020,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2019,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2018,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2017,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2016,10.8699998855591,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2015,10.9099998474121,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2014,10.9799995422363,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2013,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2012,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2011,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2010,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2009,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2008,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2007,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2006,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2005,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2004,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2003,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2002,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2001,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2000,,Andorra,AD,SE.TER.CUAT.MS.ZS,"Education , Gender"
