ano,valor,pais,codigo_pais,indicador,categoria
2024,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2023,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2022,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2021,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2020,2.28998374938965,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2019,2.28098464012146,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2018,1.8291323184967,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2017,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2016,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2015,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2014,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2013,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2012,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2011,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2010,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2009,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2008,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2007,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2006,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2005,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2004,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2003,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2002,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2001,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
2000,,Grenada,GD,SE.TER.CUAT.MS.ZS,"Education , Gender"
