ano,valor,pais,codigo_pais,indicador,categoria
2024,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2023,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2022,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2021,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2020,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2019,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2018,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2017,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2016,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2015,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2014,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2013,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2012,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2011,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2010,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2009,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2008,0.860000014305115,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2007,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2006,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2005,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2004,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2003,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2002,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2001,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
2000,,South Sudan,SS,SE.TER.CUAT.MS.ZS,"Education , Gender"
