ano,valor,pais,codigo_pais,indicador,categoria
2024,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2023,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2022,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2021,0.0,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2020,0.0,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2019,0.0,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2018,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2017,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2016,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2015,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2014,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2013,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2012,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2011,1.6599999666214,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2010,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2009,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2008,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2007,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2006,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2005,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2004,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2003,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2002,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2001,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
2000,,Trinidad and Tobago,TT,SE.TER.CUAT.MS.ZS,"Education , Gender"
