ano,valor,pais,codigo_pais,indicador,categoria
2024,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2023,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2022,3.47000002861023,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2021,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2020,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2019,2.11999988555908,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2018,2.07999992370605,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2017,1.9099999666214,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2016,1.72000002861023,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2015,1.70000004768372,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2014,1.62999999523163,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2013,1.4099999666214,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2012,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2011,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2010,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2009,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2008,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2007,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2006,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2005,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2004,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2003,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2002,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2001,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
2000,,Uruguay,UY,SE.TER.CUAT.MS.ZS,"Education , Gender"
