ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,"Congo, Rep.",CG,SE.TER.CUAT.DO.ZS,"Education , Gender"
