ano,valor,pais,codigo_pais,indicador,categoria
2024,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,0.80024790763855,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,0.686197102069855,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,0.720000028610229,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,0.720054924488068,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,0.566691994667053,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,0.483518868684769,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,0.509999990463257,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,0.490000009536743,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,0.540000021457672,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,0.429067611694336,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,0.374166518449783,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,0.382771998643875,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Greece,GR,SE.TER.CUAT.DO.ZS,"Education , Gender"
