ano,valor,pais,codigo_pais,indicador,categoria
2024,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Japan,JP,SE.TER.CUAT.DO.ZS,"Education , Gender"
