ano,valor,pais,codigo_pais,indicador,categoria
2024,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,0.0,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,0.0,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,0.0,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,0.0,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,0.0,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,0.0299999993294477,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Kyrgyz Republic,KG,SE.TER.CUAT.DO.ZS,"Education , Gender"
