ano,valor,pais,codigo_pais,indicador,categoria
2024,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,0.468725979328156,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,0.299934089183807,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,0.401068210601807,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,0.474500924348831,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,1.11000001430511,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,0.383929252624512,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,0.409999996423721,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,0.540000021457672,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,0.579999983310699,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,0.469999998807907,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,0.0,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,0.0,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,0.0,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Latvia,LV,SE.TER.CUAT.DO.ZS,"Education , Gender"
