ano,valor,pais,codigo_pais,indicador,categoria
2024,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,0.0500000007450581,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,0.0399999991059303,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,0.0,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Mozambique,MZ,SE.TER.CUAT.DO.ZS,"Education , Gender"
