ano,valor,pais,codigo_pais,indicador,categoria
2024,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,1.06681180000305,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,1.02962803840637,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,0.709999978542328,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,0.710265159606934,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,0.629999995231628,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,0.556711912155151,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,0.579999983310699,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,0.569999992847443,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,0.560000002384186,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,0.550000011920929,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,0.0,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,0.0,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,0.0,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Netherlands,NL,SE.TER.CUAT.DO.ZS,"Education , Gender"
