ano,valor,pais,codigo_pais,indicador,categoria
2024,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,0.0,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,0.0,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Sierra Leone,SL,SE.TER.CUAT.DO.ZS,"Education , Gender"
