ano,valor,pais,codigo_pais,indicador,categoria
2024,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,0.778130233287811,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,0.812225878238678,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,0.879999995231628,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,0.75393408536911,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,0.660000026226044,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,0.684413909912109,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,0.689999997615814,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,0.596049249172211,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,0.618361234664917,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,0.0,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,0.0,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,0.0,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,0.0,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Spain,ES,SE.TER.CUAT.DO.ZS,"Education , Gender"
