ano,valor,pais,codigo_pais,indicador,categoria
2024,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,0.103881254792213,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,0.0,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,0.0,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Timor-Leste,TL,SE.TER.CUAT.DO.ZS,"Education , Gender"
