ano,valor,pais,codigo_pais,indicador,categoria
2024,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,0.0780185684561729,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,0.216692537069321,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,0.15424370765686,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,0.265360921621323,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,0.557571351528168,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,Togo,TG,SE.TER.CUAT.DO.ZS,"Education , Gender"
