ano,valor,pais,codigo_pais,indicador,categoria
2024,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2023,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2022,0.829999983310699,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2021,0.879999995231628,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2020,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2019,0.790000021457672,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2018,0.910000026226044,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2017,0.680000007152557,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2016,2.53999996185303,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2015,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2014,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2013,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2012,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2011,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2010,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2009,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2008,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2007,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2006,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2005,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2004,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2003,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2002,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2001,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
2000,,United Arab Emirates,AE,SE.TER.CUAT.DO.ZS,"Education , Gender"
