ano,valor,pais,codigo_pais,indicador,categoria
2024,,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,103.231628417969,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,105.479530334473,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,103.837791442871,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,100.38289642334,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,100.281806945801,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,101.581809997559,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,106.544448852539,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,106.053131103516,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,105.392601013184,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,103.374931335449,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,103.75479888916,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,103.409629821777,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,103.408630371094,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,103.046852111816,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,102.386627197266,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,98.6377868652344,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,95.8469924926758,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,94.82763671875,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,97.7836380004883,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,99.5026397705078,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,101.835418701172,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,99.186408996582,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,99.7241821289062,Argentina,AR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
