ano,valor,pais,codigo_pais,indicador,categoria
2024,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,97.1591720581055,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,99.8165130615234,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,97.6123962402344,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,99.4589767456055,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,97.7539825439453,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,98.6491775512695,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,97.1509704589844,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,99.3965225219727,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,97.3396606445312,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,98.8614273071289,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,96.4984817504883,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,100.62183380127,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,100.962127685547,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,99.5010681152344,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,,Austria,AT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
