ano,valor,pais,codigo_pais,indicador,categoria
2024,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,96.2025909423828,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,96.5441131591797,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,92.1121826171875,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,90.8282089233398,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,94.1732788085938,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,91.360710144043,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,90.0554275512695,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,89.5214462280273,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,91.7140579223633,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,95.512809753418,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,98.2205429077148,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,97.3701629638672,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,97.4708404541016,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,,Bolivia,BO,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
