ano,valor,pais,codigo_pais,indicador,categoria
2024,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,,Brazil,BR,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
