ano,valor,pais,codigo_pais,indicador,categoria
2024,,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,71.0805587768555,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,69.4347381591797,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,68.7343215942383,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,66.4576873779297,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,65.4423599243164,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,64.431770324707,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,68.2125701904297,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,73.3813705444336,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,74.5130615234375,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,73.6742401123047,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,75.0696487426758,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,71.0284576416016,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,72.6221771240234,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,71.067626953125,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,71.2364501953125,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,54.8315696716309,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,51.4517784118652,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,59.1431694030762,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,57.1198310852051,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,50.3857307434082,Cameroon,CM,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
