ano,valor,pais,codigo_pais,indicador,categoria
2024,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,,Greenland,GL,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
