ano,valor,pais,codigo_pais,indicador,categoria
2024,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,85.5837554931641,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,108.858695983887,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,96.8553466796875,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,101.517807006836,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,116.409469604492,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,127.203651428223,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,115.906837463379,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,102.029968261719,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,104.035873413086,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,101.341461181641,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,91.6634521484375,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,,Grenada,GD,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
