ano,valor,pais,codigo_pais,indicador,categoria
2024,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,96.4699478149414,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,98.3457870483398,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,98.976432800293,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,100.632316589355,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,97.3283386230469,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,98.2880630493164,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,99.6918792724609,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,98.7077789306641,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,99.8377304077148,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,97.8153762817383,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,94.9569473266602,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,95.5203628540039,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,94.8736190795898,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,94.9661331176758,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,94.7130737304688,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,96.6412124633789,Ireland,IE,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
