ano,valor,pais,codigo_pais,indicador,categoria
2024,,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,92.999641418457,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,94.3923950195312,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,96.3200225830078,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,100.922096252441,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,102.348487854004,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,98.945068359375,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,97.3700408935547,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,99.4794387817383,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,103.972343444824,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,99.4905700683594,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,97.4636993408203,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,95.6202011108398,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,96.5340805053711,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,96.7557144165039,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,97.8589477539062,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,95.4959335327148,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,94.6401214599609,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,96.5638809204102,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,96.9785232543945,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,91.5703201293945,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,86.6747131347656,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,89.1212463378906,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,88.9726867675781,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,89.3612213134766,Kyrgyz Republic,KG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
