ano,valor,pais,codigo_pais,indicador,categoria
2024,,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,89.957389831543,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,89.0527038574219,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,90.1808242797852,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,90.9710693359375,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,93.520378112793,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,98.2439804077148,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,100.821891784668,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,99.6043472290039,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,101.072700500488,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,100.343330383301,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,98.3839721679688,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,92.9614868164062,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,89.3581085205078,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,84.5375823974609,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,82.1803207397461,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,81.0982208251953,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,79.4891662597656,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,76.9755935668945,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,72.9880905151367,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,69.1225509643555,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,67.8940887451172,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,67.6698379516602,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,67.0535430908203,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,67.0233306884766,Lao PDR,LA,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
