ano,valor,pais,codigo_pais,indicador,categoria
2024,,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,98.4483032226562,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,98.0715408325195,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,98.3287582397461,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,98.3075332641602,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,98.3991394042969,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,99.3118133544922,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,98.0600967407227,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,100.010948181152,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,100.357841491699,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,99.4163284301758,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,98.5328674316406,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,99.7660064697266,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,102.192756652832,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,101.090270996094,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,102.378616333008,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,101.664962768555,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,102.693878173828,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,102.003349304199,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,104.956962585449,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,101.008308410645,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,99.5671768188477,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,100.466987609863,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,99.4299468994141,Latvia,LV,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
