ano,valor,pais,codigo_pais,indicador,categoria
2024,,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,95.5248794555664,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,98.4732818603516,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,97.7966766357422,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,98.2835464477539,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,100.409439086914,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,99.4851684570312,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,98.2576675415039,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,98.2354431152344,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,99.1375122070312,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,100.434013366699,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,99.1396789550781,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,99.4022979736328,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,102.043159484863,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,95.6003494262695,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,101.773422241211,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,99.3296813964844,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,102.032760620117,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,102.729476928711,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,101.766380310059,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,101.470588684082,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,102.375473022461,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,102.518051147461,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,104.964912414551,Malta,MT,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
