ano,valor,pais,codigo_pais,indicador,categoria
2024,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,68.0974197387695,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,68.2332153320312,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,63.4986953735352,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,62.0856018066406,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,57.8369369506836,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,56.9134712219238,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,55.947437286377,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,55.3550224304199,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,53.0464286804199,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,55.4675178527832,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,53.0357704162598,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,52.9285087585449,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,53.3750114440918,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,53.2989692687988,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,54.3838195800781,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,,Pakistan,PK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
