ano,valor,pais,codigo_pais,indicador,categoria
2024,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,99.6337432861328,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,100.557983398438,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,101.401397705078,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,98.0779495239258,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,99.9218292236328,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,99.2582397460938,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,99.7892684936523,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,,Singapore,SG,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
