ano,valor,pais,codigo_pais,indicador,categoria
2024,,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,95.2156982421875,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,92.1480178833008,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,96.8190612792969,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,91.5193023681641,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,92.1258010864258,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,94.3130111694336,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,93.7168502807617,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,93.8534393310547,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,93.0049591064453,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,94.7903213500977,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,95.3589324951172,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,98.5253601074219,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,96.4896621704102,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,97.0059585571289,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,97.6689987182617,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,97.252311706543,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,98.0680770874023,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,101.048683166504,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,103.28825378418,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,99.5125274658203,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,99.5230178833008,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,100.997177124023,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,98.8398284912109,Slovak Republic,SK,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
