ano,valor,pais,codigo_pais,indicador,categoria
2024,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2023,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2022,86.1169357299805,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2021,86.0996246337891,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2020,91.8669052124023,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2019,90.2321548461914,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2018,90.7262496948242,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2017,90.7393112182617,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2016,91.4051666259766,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2015,90.9795455932617,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2014,87.2493515014648,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2013,88.1701507568359,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2012,88.4343795776367,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2011,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2010,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2009,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2008,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2007,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2006,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2005,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2004,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2003,94.8507919311523,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2002,94.9628677368164,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2001,98.1779479980469,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
2000,,Zimbabwe,ZW,SE.PRM.CMPT.ZS,"Aid Effectiveness , Climate Change, Education "
