ano,valor,pais,codigo_pais,indicador,categoria
2024,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2023,98.8269500732422,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2022,98.8794631958008,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2021,98.7793884277344,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2020,98.95654296875,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2019,98.8267288208008,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2018,98.932014465332,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2017,99.0294952392578,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2016,98.9686431884766,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2015,98.9923782348633,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2014,99.5500030517578,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2013,99.2856521606445,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2012,99.1603012084961,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2011,99.159309387207,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2010,99.2569732666016,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2009,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2008,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2007,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2006,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2005,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2004,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2003,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2002,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2001,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2000,,Austria,AT,SE.SEC.CUAT.LO.ZS,"Education , Gender"
