ano,valor,pais,codigo_pais,indicador,categoria
2024,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2023,79.4499969482422,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2022,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2021,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2020,80.7300033569336,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2019,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2018,80.9499969482422,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2017,69.1685562133789,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2016,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2015,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2014,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2013,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2012,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2011,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2010,74.1100006103516,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2009,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2008,73.3199996948242,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2007,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2006,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2005,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2004,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2003,57.5699996948242,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2002,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2001,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2000,,Jordan,JO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
