ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2023,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2022,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2021,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2020,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2019,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2018,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2017,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2016,73.3399963378906,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2015,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2014,98.3790817260742,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2013,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2012,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2011,68.5100021362305,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2010,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2009,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2008,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2007,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2006,60.5699996948242,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2005,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2004,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2003,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2002,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2001,52.2799987792969,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2000,,"Macao SAR, China",MO,SE.SEC.CUAT.LO.ZS,"Education , Gender"
