ano,valor,pais,codigo_pais,indicador,categoria
2024,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2023,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2022,65.6259536743164,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2021,62.4276123046875,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2020,72.1419677734375,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2019,61.3861312866211,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2018,59.697868347168,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2017,59.0014953613281,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2016,58.6832542419434,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2015,58.3772735595703,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2014,56.6474227905273,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2013,54.814323425293,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2012,54.1664085388184,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2011,54.2400016784668,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2010,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2009,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2008,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2007,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2006,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2005,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2004,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2003,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2002,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2001,,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2000,39.0999984741211,Mauritius,MU,SE.SEC.CUAT.LO.ZS,"Education , Gender"
