ano,valor,pais,codigo_pais,indicador,categoria
2024,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2023,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2022,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2021,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2020,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2019,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2018,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2017,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2016,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2015,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2014,30.6473579406738,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2013,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2012,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2011,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2010,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2009,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2008,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2007,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2006,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2005,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2004,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2003,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2002,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2001,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
2000,,Morocco,MA,SE.SEC.CUAT.LO.ZS,"Education , Gender"
